code,name,System,Tipo de tecnología (0 - General  1 - Eólica  2 - Solar  3 - Biomasa  4 - Hidroeléctrica  5 - Geotérmica  6 - CSP  ),Potencia instalada,SM,Efficiency,Latitud,Longitud,Inclinación
1,La Toba ,SIBCS,2,31.55,,,25.1987,-111.751483,25.1987
2,Aura Solar Uno,BCS,2,30,,,24.059061,-110.331778,24.059061
3,Aura Solar Tres,BCS,2,25,,,24.042192,-110.338003,24.042192
4,Sol de Insurgentes,BCS,2,23,,,25.203867,-111.757617,25.203867
5,Eólica Coromuel,BCS,1,50,,,24.08868107,-110.628311,24.08868107
6,EO_LAPAZ,BCS,1,60,,,24.133909,-110.312814,24.133909
7,PV_LPIL,BCS,2,60,,,24.57821,-111.446634,24.57821
8,PV_TRI,BCS,2,60,,,23.785423,-110.121701,23.785423
9,PV_SJC,BCS,2,60,,,23.064138,-109.704188,23.064138
10,PV_PAL,BCS,2,60,,,23.020101,-109.817976,23.020101
11,PV_CSLD,BCS,2,60,,,22.903763,-109.92079,22.903763
12,PV_OALTAS,BCS,2,60,,,24.059061,-110.331778,24.059061
13,PV_VILLAC,BCS,2,60,,,25.020395,-111.667182,25.020395
