YEAR,INSURGENTES,VILLA CONSTITUCION ,PUERTO SAN CARLOS,LAS PILAS    ,OLAS ALTAS      ,LA PAZ       ,PUNTA PRIETAII   ,COROMUEL    ,TRIUNFO     ,SANTIAGO    ,SAN JOSE DEL CABO      ,PALMAR      ,LOS CABOS     ,CABO SAN LUCAS2    
2025,0.084650059,0.048409349,0,0.011536247,0.029778418,0.225136322,0.001453166,0,0.019500818,0.037624344,0.23262018,0,0,0.309291098
2026,0.084124411,0.047623445,0,0.011770084,0.024884149,0.22940361,0.001719232,0,0.019895126,0.042313203,0.233539878,0,0,0.304726862
2027,0.083605926,0.046870987,0,0.012003085,0.025217675,0.228331158,0.001973428,0,0.020289058,0.046812205,0.231209473,0,0,0.303687005
2028,0.083250564,0.046100614,0,0.012246711,0.02558219,0.227044357,0.002028565,0,0.020702015,0.050108816,0.23223743,0,0,0.300698738
2029,0.082706686,0.045561685,0,0.012494823,0.025633293,0.226132047,0.002081348,0,0.021126392,0.05015732,0.23585969,0,0,0.298246715
2030,0.082303841,0.045148233,0,0.012563777,0.043011036,0.208205331,0.002102546,0,0.021208688,0.043747033,0.249217992,0,0,0.292491523
2031,0.081935059,0.044738488,0,0.01262332,0.042205486,0.208587978,0.002120767,0,0.021269659,0.043775963,0.253774667,0,0,0.288968611
2032,0.081658408,0.044383623,0,0.01266767,0.041412675,0.209029194,0.002135777,0,0.02130641,0.043837881,0.257660344,0,0,0.285908019
2033,0.075099231,0.050322999,0,0.012699136,0.040638044,0.209554311,0.002148081,0,0.021323529,0.0438517,0.262377354,0,0,0.281985617
2034,0.074966719,0.050059753,0,0.012701827,0.039895331,0.209876966,0.002171762,0,0.021293822,0.043986642,0.265640976,0,0,0.279406201
2035,0.074830691,0.049798096,0,0.012692126,0.039162813,0.210247934,0.002098242,0,0.021248953,0.044079654,0.269086357,0,0,0.276755134
2036,0.074632805,0.049591428,0,0.012665113,0.038423931,0.210577442,0.002026672,0,0.021177076,0.044135382,0.272717349,0,0,0.274052804
2037,0.074359689,0.049388345,0,0.012628645,0.037699294,0.210954115,0.00195803,0,0.021108663,0.044149939,0.276486333,0,0,0.271266947
2038,0.074009172,0.049129423,0,0.012566014,0.036937035,0.211099347,0.001889533,0,0.02099636,0.044159758,0.280600903,0,0,0.268612454
2039,0.073665073,0.048876613,0,0.012485593,0.036099454,0.211129096,0.001822351,0,0.020853705,0.044148381,0.284941906,0,0,0.265977829
